Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-04-20 06:10:06,false,"Greeley Running","10.01","1,507","01:49:27","139","157","3.1","162","175","10:56","8:52","242","269","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.24","11","0.0"
running,2019-04-17 06:33:22,false,"Athens Running","5.01","863","00:56:22","143","171","3.5","164","195","11:15","9:27","328","308","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.28","6","0.0"
running,2019-04-16 04:41:08,false,"Greeley Running","10.01","1,656","01:50:07","145","168","4.0","165","180","11:00","8:46","305","303","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.03","11","0.0"
running,2019-04-13 06:07:49,false,"Greeley Running","6.01","1,058","01:05:19","149","170","3.8","166","178","10:52","9:09","80","92","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:13.26","7","0.0"
running,2019-04-09 04:48:58,false,"Greeley Running","6.01","943","01:02:56","141","155","3.4","166","186","10:28","8:49","154","194","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.03","7","0.0"
running,2019-04-07 04:40:29,false,"Greeley Running","17.01","2,705","03:31:20","141","172","3.4","154","237","12:25","9:08","416","412","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.47","18","0.0"
running,2019-04-06 15:14:50,false,"Greeley Running","10.01","1,879","01:57:49","151","169","4.7","158","175","11:46","9:49","36","36","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.85","11","0.0"
running,2019-04-03 05:53:45,false,"Greeley Running","5.01","824","00:55:35","137","157","3.0","166","176","11:05","9:01","114","132","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.83","6","0.0"
running,2019-04-02 05:55:49,false,"Greeley Running","10.01","1,595","01:47:18","141","165","3.6","166","175","10:43","8:49","244","251","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.06","11","0.0"
running,2019-03-31 04:41:54,false,"Greeley Running","19.01","2,905","03:48:19","139","181","3.9","155","180","12:00","9:02","506","502","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:19.10","20","0.0"
running,2019-03-30 06:33:31,false,"Greeley Running","9.01","1,480","01:38:26","144","167","3.9","166","176","10:56","9:15","234","251","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:16.39","10","0.0"
running,2019-03-29 06:02:51,false,"Greeley Running","4.01","708","00:44:37","145","161","3.5","164","174","11:07","9:08","62","80","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.15","5","0.0"
running,2019-03-26 17:47:29,false,"Greeley Running","9.01","1,690","01:33:10","160","189","5.0","164","171","10:20","9:04","38","38","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.07","10","0.0"
running,2019-03-24 11:23:27,false,"Greeley Running","8.01","1,234","01:35:46","131","151","2.7","159","174","11:57","9:31","33","33","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.69","9","0.0"
running,2019-03-20 18:10:27,false,"Greeley Running","4.01","672","00:45:15","136","151","2.9","163","176","11:17","8:04","89","82","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.48","5","0.0"
running,2019-03-19 18:09:53,false,"Greeley - Running","9.01","1,472","01:30:02","149","171","4.7","166","172","10:00","8:26","30","30","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.64","10","0.0"
running,2019-03-17 04:31:17,false,"Greeley - Running","17.01","2,504","03:22:05","139","183","3.4","154","243","11:53","8:43","420","417","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.69","18","0.0"
running,2019-03-16 04:42:56,false,"Greeley - Running","8.03","1,262","01:29:37","146","172","3.5","156","245","11:10","7:55","161","151","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:29.58","9","0.0"
virtual_run,2019-03-14 15:17:18,false,"Zwift Run - ZWIFT 101: RUNNING - Welcome To Running In Zwift!","3.90","530","00:41:48","--","--","0.0","--","--","10:43","7:54","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:46.00","5","0.0"
treadmill_running,2019-03-13 05:43:55,false,"Larimer County - Other","4.03","766","00:42:59","--","--","--","--","--","10:40","10:00","782","52","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-03-12 04:43:30,false,"Greeley - Running","8.01","1,353","01:26:53","148","170","4.4","166","176","10:51","9:04","249","241","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.05","9","0.0"
running,2019-03-10 07:23:41,false,"Greeley - Running","16.02","2,805","03:21:26","146","182","4.2","162","175","12:34","9:22","381","404","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:13.82","17","0.0"
running,2019-03-02 05:55:40,false,"Greeley - Running","7.01","1,230","01:17:38","149","170","4.4","167","176","11:04","8:52","187","183","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.06","8","0.0"
running,2019-02-28 04:46:32,false,"Greeley Running","4.32","721","00:47:33","145","172","3.5","161","179","11:00","8:54","105","115","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:22.03","5","0.0"
running,2019-02-27 04:51:06,false,"Greeley Running","3.01","483","00:32:30","140","153","3.0","166","172","10:48","9:35","56","66","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:35.98","4","0.0"
running,2019-02-26 04:56:27,false,"Greeley Running","7.01","1,103","01:18:12","143","173","3.8","167","176","11:09","9:08","249","265","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:35.05","8","0.0"
running,2019-02-24 10:32:03,false,"Greeley Running","14.01","2,202","02:41:09","146","172","4.7","165","182","11:30","8:54","393","406","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:10.65","15","0.0"
running,2019-02-21 04:47:15,false,"Greeley Running","4.16","648","00:45:02","147","173","3.6","160","234","10:50","8:51","166","152","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:56.08","5","0.0"
running,2019-02-20 04:47:00,false,"Greeley Running","3.01","467","00:32:21","144","160","3.2","166","176","10:45","9:29","32","62","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:15.14","4","0.0"
running,2019-02-19 04:58:22,false,"Greeley Running","7.01","1,124","01:11:06","158","174","5.0","167","175","10:08","8:20","255","252","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:37.29","8","0.0"
running,2019-02-18 05:35:07,false,"Greeley Running","3.10","456","00:31:52","144","153","3.2","167","176","10:17","8:57","59","72","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:47.89","4","0.0"
running,2019-02-13 18:09:16,false,"Greeley Running","2.79","523","00:33:25","154","173","3.6","161","221","11:59","8:44","90","6","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:20.09","3","0.0"
running,2019-02-12 17:30:32,false,"Greeley Running","6.02","1,032","01:05:07","154","170","4.4","164","173","10:49","7:59","140","70","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:00.93","7","0.0"
treadmill_running,2019-02-11 19:18:54,false,"Treadmill Run","3.00","631","00:33:20","--","163","--","--","--","11:07","11:07","667","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-02-10 11:09:39,false,"Greeley Running","8.01","1,235","01:22:55","148","170","4.3","167","176","10:21","8:06","292","292","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:32.85","9","0.0"
running,2019-02-09 10:19:59,false,"Greeley Running","6.01","1,008","01:02:08","156","175","4.7","166","175","10:20","9:04","186","200","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:42.08","7","0.0"
running,2019-02-04 05:25:13,false,"Greeley Running","6.01","964","01:00:20","152","176","4.6","170","176","10:02","8:41","198","195","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:15.11","7","0.0"
running,2019-02-02 05:31:06,false,"Greeley Running","5.01","787","00:50:53","149","168","4.0","168","175","10:09","8:54","171","158","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:42.94","6","0.0"
running,2019-01-31 05:16:38,false,"Greeley Running","3.01","490","00:30:36","151","169","3.5","167","174","10:09","9:15","74","66","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:56.42","4","0.0"
